name,id,gender,uid,department
James Cameron,4762,0,2710,Directing
Gore Verbinski,4763,0,1704,Directing
Sam Mendes,4764,0,39,Directing
Christopher Nolan,4765,0,525,Directing
Andrew Stanton,4766,0,7,Directing
Sam Raimi,4767,0,7623,Directing
Byron Howard,4768,0,76595,Directing
Joss Whedon,4769,0,12891,Directing
David Yates,4770,0,11343,Directing
Zack Snyder,4771,0,15217,Directing
Bryan Singer,4772,0,9032,Directing
Marc Forster,4773,0,12995,Directing
Andrew Adamson,4774,0,5524,Directing
Rob Marshall,4775,0,17633,Directing
Barry Sonnenfeld,4776,0,5174,Directing
Peter Jackson,4777,0,108,Directing
Marc Webb,4778,0,87742,Directing
Ridley Scott,4779,0,578,Directing
Chris Weitz,4780,0,3288,Directing
Anthony Russo,4781,0,19271,Directing
Peter Berg,4782,0,36602,Directing
Colin Trevorrow,4783,0,930707,Directing
Shane Black,4784,0,1108,Directing
Tim Burton,4785,0,510,Directing
Brett Ratner,4786,0,11091,Directing
Dan Scanlon,4787,0,225976,Directing
Michael Bay,4788,0,865,Directing
Joseph Kosinski,4789,0,86270,Directing
John Lasseter,4790,0,7879,Directing
Martin Campbell,4791,0,10702,Directing
Lee Unkrich,4792,0,8,Directing
McG,4793,0,36425,Directing
James Wan,4794,0,2127,Directing
J.J. Abrams,4795,0,15344,Directing
Baz Luhrmann,4796,0,6201,Directing
Mike Newell,4797,0,10723,Directing
Guillermo del Toro,4798,0,10828,Directing
Steven Spielberg,4799,0,488,Directing
Peter Sohn,4800,0,21198,Directing
Brenda Chapman,4801,1,59803,Directing
Justin Lin,4802,0,58189,Directing
Roland Emmerich,4803,0,6046,Directing
Robert Zemeckis,4804,0,24,Directing
Lilly Wachowski,4805,1,9339,Directing
Pete Docter,4806,0,12890,Directing
Conrad Vernon,4807,0,12080,Directing
Jon Favreau,4808,0,15277,Directing
Martin Scorsese,4809,0,1032,Directing
Rob Cohen,4810,0,18878,Directing
David Ayer,4811,0,19769,Directing
Tom Shadyac,4812,0,4499,Directing
Doug Liman,4813,0,11694,Directing
Kevin Reynolds,4814,0,8300,Directing
Stephen Sommers,4815,0,7775,Directing
Rupert Sanders,4816,0,228134,Directing
Robert Stromberg,4817,0,1032536,Directing
Matt Reeves,4818,0,32278,Directing
Roland Joffé,4819,0,8965,Directing
Carl Rinsch,4820,0,239571,Directing
Mike Mitchell,4821,0,64151,Directing
Brad Bird,4822,0,7087,Directing
Chris Williams,4823,0,70238,Directing
Rich Moore,4824,0,165787,Directing
Chris Sanders,4825,0,66193,Directing
Jonathan Mostow,4826,0,7213,Directing
James Gunn,4827,0,15218,Directing
Hideaki Anno,4828,0,77921,Directing
David Fincher,4829,0,7467,Directing
Matthew Vaughn,4830,0,957,Directing
Francis Lawrence,4831,0,10943,Directing
Jon Turteltaub,4832,0,12962,Directing
Wolfgang Petersen,4833,0,5231,Directing
James Bobin,4834,0,26205,Directing
Chris Miller,4835,0,12098,Directing
Duncan Jones,4836,0,81850,Directing
Alan Taylor,4837,0,47005,Directing
Michael Apted,4838,0,10781,Directing
Oliver Stone,4839,0,1152,Directing
Jan Pinkava,4840,0,7930,Directing
Eric Darnell,4841,0,18863,Directing
Shawn Levy,4842,0,17825,Directing
Gavin Hood,4843,0,13079,Directing
Chris Buck,4844,0,15774,Directing
George Miller,4845,0,20629,Directing
Ron Howard,4846,0,6159,Directing
Kenneth Branagh,4847,0,11181,Directing
Hoyt Yeatman,4848,0,84851,Directing
Jonathan Liebesman,4849,0,66739,Directing
Christopher McQuarrie,4850,0,9033,Directing
Joe Johnston,4851,0,4945,Directing
Steve Hickner,4852,0,44113,Directing
Jennifer Yuh Nelson,4853,1,142312,Directing
M. Night Shyamalan,4854,0,11614,Directing
Simon Wells,4855,0,21879,Directing
David Bowers,4856,0,33183,Directing
Joe Wright,4857,0,36588,Directing
Rob Minkoff,4858,0,18898,Directing
Lee Tamahori,4859,0,7256,Directing
Paul Feig,4860,0,116805,Directing
Peter Ramsey,4861,0,151007,Directing
Dean Parisot,4862,0,15002,Directing
Edward Zwick,4863,0,9181,Directing
Dean DeBlois,4864,0,69797,Directing
Alex Proyas,4865,0,21085,Directing
Richard Donner,4866,0,7187,Directing
Ang Lee,4867,0,1614,Directing
Jon M. Chu,4868,0,54507,Directing
Breck Eisner,4869,0,52609,Directing
Hironobu Sakaguchi,4870,0,21692,Directing
Peter Weir,4871,0,2690,Directing
Bill Condon,4872,0,15557,Directing
Louis Leterrier,4873,0,18865,Directing
Alejandro González Iñárritu,4874,0,223,Directing
David Soren,4875,0,94075,Directing
Paul Greengrass,4876,0,25598,Directing
Mark Osborne,4877,0,57741,Directing
Peyton Reed,4878,0,59026,Directing
Tim Johnson,4879,0,52870,Directing
Phillip Noyce,4880,0,13015,Directing
Darren Aronofsky,4881,0,6431,Directing
Alfonso Cuarón,4882,0,11218,Directing
Ralph Zondag,4883,0,65855,Directing
Tom McGrath,4884,0,18864,Directing
Chris Columbus,4885,0,10965,Directing
Robert Schwentke,4886,0,57270,Directing
Carlos Saldanha,4887,0,5714,Directing
Guy Ritchie,4888,0,956,Directing
Paul Verhoeven,4889,0,10491,Directing
John McTiernan,4890,0,1090,Directing
Tony Gilroy,4891,0,19242,Directing
Joel Schumacher,4892,0,5572,Directing
John Woo,4893,0,11401,Directing
Tim Story,4894,0,20400,Directing
Mark Steven Johnson,4895,0,16837,Directing
Neill Blomkamp,4896,0,82194,Directing
David Twohy,4897,0,28239,Directing
José Padilha,4898,0,52576,Directing
James L. Brooks,4899,0,3388,Directing
James Mangold,4900,0,366,Directing
George Lucas,4901,0,1,Directing
Thomas Langmann,4902,0,20674,Directing
Cedric Nicolas-Troyan,4903,0,1454884,Directing
Roger Donaldson,4904,0,21370,Directing
Dave Green,4905,0,1101410,Directing
Josh Trank,4906,0,934803,Directing
Brad Peyton,4907,0,132876,Directing
Roger Spottiswoode,4908,0,1724,Directing
Steven Soderbergh,4909,0,1884,Directing
Rob Letterman,4910,0,65630,Directing
Michel Gondry,4911,0,201,Directing
Noam Murro,4912,0,78914,Directing
Raja Gosnell,4913,0,1215,Directing
Will Finn,4914,0,70287,Directing
Jan de Bont,4915,0,2209,Directing
Len Wiseman,4916,0,3950,Directing
Frank Coraci,4917,0,57370,Directing
Michael Mann,4918,0,638,Directing
Bo Welch,4919,0,5133,Directing
Ron Clements,4920,0,15810,Directing
Peter Chelsom,4921,0,36804,Directing
Dominic Sena,4922,0,58498,Directing
Tony Scott,4923,0,893,Directing
Paul Weitz,4924,0,3289,Directing
Adam McKay,4925,0,55710,Directing
Chuck Russell,4926,0,26713,Directing
Quentin Tarantino,4927,0,138,Directing
Gary Trousdale,4928,0,62047,Directing
Mark Dindal,4929,0,61411,Directing
Simon West,4930,0,12786,Directing
Stefen Fangmeier,4931,0,25453,Directing
Spike Jonze,4932,0,5953,Directing
Chris Wedge,4933,0,5713,Directing
Florian Henckel von Donnersmarck,4934,0,8193,Directing
Peter Hyams,4935,0,37710,Directing
Tom Tykwer,4936,0,1071,Directing
Pitof,4937,0,4586,Directing
Brad Silberling,4938,0,11887,Directing
Patrick Hughes,4939,0,143059,Directing
Ericson Core,4940,0,21673,Directing
Lawrence Guterman,4941,0,64191,Directing
Ron Underwood,4942,0,33485,Directing
Steve Martino,4943,0,71729,Directing
David Mamet,4944,0,1255,Directing
Zhang Yimou,4945,0,607,Directing
Ash Brannon,4946,0,12905,Directing
Frank Oz,4947,0,7908,Directing
Jay Roach,4948,0,6737,Directing
Luc Besson,4949,0,59,Directing
Michael Patrick King,4950,0,38023,Directing
Don Michael Paul,4951,0,27005,Directing
Sergei Bodrov,4952,0,130938,Directing
Wally Pfister,4953,0,559,Directing
Rupert Wyatt,4954,0,77357,Directing
Mark Waters,4955,0,54050,Directing
John Moore,4956,0,12028,Directing
John Lee Hancock,4957,0,54040,Directing
Renny Harlin,4958,0,16938,Directing
Phil Lord,4959,0,107446,Directing
Ben Stiller,4960,0,7399,Directing
Tony Bancroft,4961,0,66190,Directing
Timur Bekmambetov,4962,0,23430,Directing
Walt Becker,4963,0,68573,Directing
Dennis Dugan,4964,0,17494,Directing
